Title,Category,Link,Date,Author,Description,Polarity
Ethereum co-founder says he’s no longer a billionaire ,Ethereum ,https://www.moneyweb.co.za/moneyweb-crypto/ethereum/ethereum-co-founder-says-hes-no-longer-a-billionaire/,30 May 2022 / ,"David Pan, Bloomberg","The price of the Ether token, associated with the blockchain, has fallen 55% since November. ",Neutral
"Ether could sink another 80%, chart watcher says ",Ethereum ,https://www.moneyweb.co.za/moneyweb-crypto/ethereum/ether-could-sink-another-80-chart-watcher-says/,23 May 2022 / ,"Scott Carpenter, Bloomberg","Technical analyst ether is “oversold daily and oversold weekly and cannot rally,” Roque said in a note Monday. ",Neutral
Ethereum’s coming ‘merge’ could make or break crypto ,Ethereum ,https://www.moneyweb.co.za/moneyweb-crypto/ethereum/ethereums-coming-merge-could-make-or-break-crypto/,17 May 2022 / ,"Joanna Ossinger, Bloomberg",There’s never been a change on the scale of Ethereum’s transition from proof of work to proof of stake: analyst. ,Neutral
Ethereum founder Buterin says crypto ‘welcomes’ another winter ,Ethereum ,https://www.moneyweb.co.za/moneyweb-crypto/ethereum/ethereum-founder-buterin-says-crypto-welcomes-another-winter/,6 Apr 2022 / ,"Olga Kharif, Bloomberg",Cryptocurrency prices have tumbled since reaching record highs in early November. ,Positive
Ethereum beats rivals with ‘trade-offs’ – Pantera’s Krug ,Ethereum ,https://www.moneyweb.co.za/moneyweb-crypto/ethereum/ethereum-beats-rivals-with-trade-offs-panteras-krug/,20 Feb 2022 / ,"Muyao Shen and Matthew Hill, Bloomberg",Says a very sizable percent of the world’s financial transactions will touch Ethereum in 10 to 20 years' time. ,Positive
Ether outperforms rival cryptos before Ethereum network upgrade ,Ethereum ,https://www.moneyweb.co.za/moneyweb-crypto/ethereum/ether-outperforms-rival-cryptos-before-ethereum-network-upgrade/,9 Jan 2022 / ,"Akayla Gardner, Bloomberg",Bulls using the options market to position for a potential Ether futures ETF announcement. ,Neutral
Most used blockchain averts crisis after software flaw is fixed ,Ethereum ,https://www.moneyweb.co.za/moneyweb-crypto/ethereum/most-used-blockchain-averts-crisis-after-software-flaw-is-fixed/,26 Oct 2021 / ,"Joanna Ossinger, Bloomberg","'This could’ve been a big problem, but it isn’t': Chainalysis spokesperson. ",Neutral
Ethereum’s London upgrade could boost its price through burns ,Ethereum ,https://www.moneyweb.co.za/moneyweb-crypto/ethereum/ethereums-london-upgrade-could-boost-its-price-through-burns/,28 Aug 2021 / ,"Kartikay Mehrotra, Bloomberg",'... one of the most interesting and important upgrades in the history of Ethereum' – investment firm cofounder. ,Positive
Ethereum co-founder quits crypto ,Ethereum ,https://www.moneyweb.co.za/moneyweb-crypto/ethereum/ethereum-co-founder-quits-crypto/,30 Jul 2021 / ,"Olga Kharif, Bloomberg",Over safety concerns. ,Neutral
Ether reaches record ,Ethereum ,https://www.moneyweb.co.za/moneyweb-crypto/ethereum/ether-reaches-record/,17 Jul 2021 / ,"Olga Kharif, Bloomberg",As crypto rally broadens beyond bitcoin. ,Neutral
Why Ethereum has been on a tear ,Ethereum ,https://www.moneyweb.co.za/moneyweb-crypto/ethereum/why-ethereum-has-been-on-a-tear/,3 Apr 2021 / ,"Olivia Raimonde and Joanna Ossinger, Bloomberg",Is the best yet to come? ,Positive
"Ether cracks $1 150, impelled by the bitcoin ‘slingshot effect’ ",Ethereum ,https://www.moneyweb.co.za/moneyweb-crypto/ethereum/ether-cracks-1-150-impelled-by-the-bitcoin-slingshot-effect/,25 Jan 2021 / ,Ciaran Ryan,Analysts point to other reasons to get excited about ether’s prospects in 2021. ,Positive
Bitcoin’s smaller brother Ethereum has been the crypto star of 2020 ,Ethereum ,https://www.moneyweb.co.za/moneyweb-crypto/ethereum/bitcoins-smaller-brother-ethereum-has-been-the-crypto-star-of-2020/,5 Jan 2021 / ,Moneyweb,"The Ethereum bubble popped in 2018, but 2020 was the year it came back to life. ",Neutral
Ethereum races clock to collect enough coins for huge upgrade ,Ethereum ,https://www.moneyweb.co.za/moneyweb-crypto/ethereum-races-clock-to-collect-enough-coins-for-huge-upgrade/,15 Dec 2020 / ,Ciaran Ryan,'Ethereum needs to scale to become a global substrate of the clearing and settlement layer' – Andrew Keys. ,Neutral
SA crypto pioneer Luno finds a US buyer ,Bitcoin ,https://www.moneyweb.co.za/news/companies-and-deals/sa-crypto-pioneer-luno-finds-a-us-buyer/,14 Sep 2020 / ,Ciaran Ryan,"Born in Cape Town, Luno came to dominate the crypto market in Africa and has now been bought by Digital Currency Group. ",Neutral
What is DeFi and why is it the hottest ticket in cryptocurrencies? ,Ethereum ,https://www.moneyweb.co.za/news/international/what-is-defi-and-why-is-it-the-hottest-ticket-in-cryptocurrencies/,29 Aug 2020 / ,"Jeremy Eng-Tuck Cheah, Bloomberg",Decentralised finance is attracting huge attention. ,Positive
Twitter cryptocurrency scam echoes previous schemes on YouTube ,Ethereum ,https://www.moneyweb.co.za/news/international/twitter-cryptocurrency-scam-echoes-previous-schemes-on-youtube/,23 Jul 2020 / ,"William Turton, Bloomberg","Hackers hijacked Twitter accounts belonging to Barack Obama, Elon Musk, Joe Biden and Jeff Bezos, asking followers to send Bitcoins to their crypto wallet. ",Neutral
"Crypto growth nears ‘ceiling,’ ethereum co-founder says ",Ethereum ,https://www.moneyweb.co.za/news-fast-news/crypto-growth-nears-ceiling-ethereum-co-founder-says/,10 Sep 2018 / ,"Eric Lam and Gregor Stuart Hunter, Bloomberg ",It is now up to the people already involved in the business of cryptocurrency to expand it. ,Neutral
"Crypto growth nears ‘ceiling’, ethereum co-founder Buterin says ",Ethereum ,https://www.moneyweb.co.za/news-fast-news/crypto-growth-nears-ceiling-ethereum-co-founder-buterin-says/,10 Sep 2018 / ,"Eric Lam and Gregor Stuart Hunter, Bloomberg",The days of explosive growth in the blockchain industry have likely come and gone now the average person is aware of its existence says Vitalik Buterin. ,Positive
"Bitcoin drops 3% in 10 minutes, ethereum plunges 12% ",Bitcoin ,https://www.moneyweb.co.za/news/tech/bitcoin-drops-3-in-10-minutes-ethereum-plunges-12/,5 Sep 2018 / ,"Todd White and Lily Katz, Bloomberg",After Goldman Sachs announced that it is no longer prioritising a cryptocurrency trading desk. ,Neutral
Ethereum.com domain name can be yours for about $10m ,Ethereum ,https://www.moneyweb.co.za/news/tech/ethereum-com-domain-name-can-be-yours-for-about-10m/,15 Nov 2017 / ,"Olga Kharif, Bloomberg",Crypto and marijuana themed website names are most in demand. ,Positive
Ethereum creator wonders whether his currency should be scarcer ,Ethereum ,https://www.moneyweb.co.za/news/tech/ethereum-creator-wonders-whether-his-currency-should-be-scarcer/,8 Nov 2017 / ,"Matthew Leising, Bloomberg","In a rare interview, Vitalik Buterin frets over ether supply. ",Positive
Cyber bank robbers stick up ethereum owners for $225m ,Ethereum ,https://www.moneyweb.co.za/news-fast-news/cyber-bank-robbers-stick-up-ethereum-owners-for-225m/,24 Aug 2017 / ,Lulu Yilun Chen and Yuji Nakamura,"More than 30 000 people have fallen prey to ethereum-related cyber crime, losing an average of $7 500 each. ",Positive
Ethereum co-founder says crypto coin market is a time-bomb ,Ethereum ,https://www.moneyweb.co.za/news/tech/ethereum-co-founder-says-crypto-coin-market-is-a-time-bomb/,19 Jul 2017 / ,"Camila Russo, Bloomberg","Regulation is biggest threat to digital tokens, Hoskinson says. ",Neutral
Ethereum slides as network backlog points to growing pains ,Ethereum ,https://www.moneyweb.co.za/news/tech/ethereum-slides-as-network-backlog-points-to-growing-pains/,22 Jun 2017 / ,"Camila Russo, Bloomberg",Initial coin offerings seen causing bottleneck in the network. ,Neutral
